fid	GUSH_NUM	PARCEL	LEGAL_AREA	Is_Anliti	Owners	Notes	Bait_Meshutaf	Hachirot	Nesah_Date	prc_clc_area	coefficient	prc_legal_calc_diff	max_aloud_diff	check_diff	fix_s1a	zones	fix_s1b	sum_s1b	diff_s1a_sums1b	CELLNO	CODE	Yeud_Txt	zones_2	fix_s3
32	3889	59	9450	1	פרטית				20/03/2022 00:00:00	9373.961772	1.008111643	76.03822803	96.66888838	ok	545	zone0	545	545	0	619	670	שטח ציבורי פתוח	zone0	0
32	3889	59	9450	1	פרטית				20/03/2022 00:00:00	9373.961772	1.008111643	76.03822803	96.66888838	ok	545	zone0	545	545	0	1204	820	דרך קיימת או מאושרת	zone0	545
38	3889	67	45243	1	פרטית				20/03/2022 00:00:00	45494.89587	0.994463206	-251.8958745	260.6492158	ok	192	zone0	192	192	0	619	670	שטח ציבורי פתוח	zone0	0
38	3889	67	45243	1	פרטית				20/03/2022 00:00:00	45494.89587	0.994463206	-251.8958745	260.6492158	ok	192	zone0	192	192	0	701	740	נחל/תעלה/מאגר מים	zone0	192
41	3889	57	9794	1	פרטית	"הערה על יעוד מקרקעין - תקנה 27, הערה על הפקעת חלק מחלקה - סעיף 19, הערה על הפקדת תכנית סעיף 123, הערה אזהרה - סעיף 126, הערה על חוב היטל השבחה"			20/03/2022 00:00:00	9737.881758	1.00576288	56.11824216	98.75971212	ok	4067	zone0	4067	4067	0	619	670	שטח ציבורי פתוח	zone0	860
41	3889	57	9794	1	פרטית	"הערה על יעוד מקרקעין - תקנה 27, הערה על הפקעת חלק מחלקה - סעיף 19, הערה על הפקדת תכנית סעיף 123, הערה אזהרה - סעיף 126, הערה על חוב היטל השבחה"			20/03/2022 00:00:00	9737.881758	1.00576288	56.11824216	98.75971212	ok	4067	zone0	4067	4067	0	1204	820	דרך קיימת או מאושרת	zone0	2638
41	3889	57	9794	1	פרטית	"הערה על יעוד מקרקעין - תקנה 27, הערה על הפקעת חלק מחלקה - סעיף 19, הערה על הפקדת תכנית סעיף 123, הערה אזהרה - סעיף 126, הערה על חוב היטל השבחה"			20/03/2022 00:00:00	9737.881758	1.00576288	56.11824216	98.75971212	ok	4067	zone0	4067	4067	0	620	670	שטח ציבורי פתוח	zone0	81
41	3889	57	9794	1	פרטית	"הערה על יעוד מקרקעין - תקנה 27, הערה על הפקעת חלק מחלקה - סעיף 19, הערה על הפקדת תכנית סעיף 123, הערה אזהרה - סעיף 126, הערה על חוב היטל השבחה"			20/03/2022 00:00:00	9737.881758	1.00576288	56.11824216	98.75971212	ok	4067	zone0	4067	4067	0	701	740	נחל/תעלה/מאגר מים	zone0	202
41	3889	57	9794	1	פרטית	"הערה על יעוד מקרקעין - תקנה 27, הערה על הפקעת חלק מחלקה - סעיף 19, הערה על הפקדת תכנית סעיף 123, הערה אזהרה - סעיף 126, הערה על חוב היטל השבחה"			20/03/2022 00:00:00	9737.881758	1.00576288	56.11824216	98.75971212	ok	4067	zone0	4067	4067	0	1045	830	דרך מוצעת או הרחבה	zone0	285
42	3889	73	44540	1	מדינת ישראל	"הערה על הפקעה סעיפים 5-7, הערה על הפקעת חלק מחלקה - סעיף 19, אתר עתיקות, הערה על יעוד מקרקעין - תקנה 27"			20/03/2022 00:00:00	44380.83255	1.003586401	159.167446	257.9160151	ok	18112	zone0	18112	18112	0	995	995	"יעוד עפ""י תוכנית מאושרת אחרת"	zone0	18112
